sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PARUBT.09,female,cancer,NA,0-19,blood,0.01268133,0.084113453,0.095303837,0.234429679,-1.39E-08,-1.39E-08,-1.39E-08
TARGET.20.PARUBT.40,female,cancer,NA,0-19,blood,-1.93E-08,0.731459044,0.254892461,0.658532767,0.034740882,0.084132378,-1.93E-08
TARGET.20.PARUDL.03,male,cancer,NA,0-19,blood,-2.10E-08,-2.10E-08,1.695240728,0.073770363,0.364837448,-2.10E-08,-2.10E-08
TARGET.20.PARUNX.04,female,cancer,NA,0-19,blood,-1.99E-08,0.086436426,1.765388176,0.118528712,0.964181555,-1.99E-08,0.052982906
TARGET.20.PARUNX.09,female,cancer,NA,0-19,blood,-1.65E-08,0.112280744,1.705589355,0.186240714,-1.65E-08,-1.65E-08,-1.65E-08
TARGET.20.PARUTH.09,male,cancer,NA,0-19,blood,-1.62E-08,0.605045802,1.097382486,0.12246636,0.856434987,-1.62E-08,-1.62E-08
TARGET.20.PARUUB.09,female,cancer,NA,0-19,blood,0.020630061,0.020630061,0.403817713,0.098447636,0.060442348,-2.27E-08,-2.27E-08
TARGET.20.PARUWX.09,male,cancer,NA,0-19,blood,-1.88E-08,0.017113287,1.062990104,0.050255869,-1.88E-08,-1.88E-08,0.017113287
TARGET.20.PARVAI.03,female,cancer,NA,0-19,blood,-2.09E-08,0.915767416,1.165246905,0.54214054,0.018931989,-2.09E-08,-2.09E-08
TARGET.20.PARWDZ.09,female,cancer,NA,0-19,blood,-2.65E-08,0.176067571,0.761317012,0.176067571,0.770774561,-2.65E-08,-2.65E-08
TARGET.20.PARXBT.09,male,cancer,NA,0-19,blood,-2.08E-08,0.836404927,1.646613232,0.272479993,1.551517052,0.018882092,0.171452198
TARGET.20.PARXMP.09,male,cancer,NA,0-19,blood,0.111454403,0.161927759,0.282627811,1.259627825,0.038849182,-2.17E-08,-2.17E-08
TARGET.20.PARXNG.09,male,cancer,NA,0-19,blood,0.019436396,0.222308008,0.075143009,0.038427162,-2.14E-08,-2.14E-08,-2.14E-08
TARGET.20.PARYFN.03,female,cancer,NA,0-19,blood,0.04136943,0.04136943,1.996060795,0.061323791,0.637773928,-2.31E-08,-2.31E-08
TARGET.20.PARYFN.04,female,cancer,NA,0-19,blood,0.06161605,0.658761802,1.10916344,0.483999517,0.901261723,-2.32E-08,0.06161605
TARGET.20.PARYGA.09,male,cancer,NA,0-19,blood,-1.54E-08,0.247323939,0.945615799,0.185371057,0.041240101,-1.54E-08,-1.54E-08
TARGET.20.PARYVW.04,female,cancer,NA,0-19,blood,0.022529723,0.086839721,0.408673561,1.20828003,0.146689063,-2.49E-08,-2.49E-08
TARGET.20.PARYVW.09,female,cancer,NA,0-19,blood,-2.24E-08,0.45895073,0.955085512,0.799598472,1.109487461,-2.24E-08,-2.24E-08
TARGET.20.PARZUU.09,male,cancer,NA,0-19,blood,-2.66E-08,-2.66E-08,1.511638899,0.176949211,0.253568073,-2.66E-08,-2.66E-08
TARGET.20.PARZWH.09,male,cancer,NA,0-19,blood,-1.64E-08,0.071828255,0.262366403,0.161665386,-1.64E-08,-1.64E-08,-1.64E-08
TARGET.20.PASBBE.04,male,cancer,NA,0-19,blood,0.019217344,0.109068207,0.074312063,0.037996881,-2.12E-08,-2.12E-08,-2.12E-08
TARGET.20.PASBHI.09,male,cancer,NA,0-19,blood,-1.65E-08,-1.65E-08,0.489937666,0.044080179,0.185910291,-1.65E-08,-1.65E-08
TARGET.20.PASBPK.09,male,cancer,NA,0-19,blood,-1.88E-08,0.260456828,0.373046314,0.69612566,0.017058204,-1.88E-08,-1.88E-08
TARGET.20.PASCCS.09,male,cancer,NA,0-19,blood,-1.60E-08,0.02872169,0.383750867,0.322694829,0.02872169,-1.60E-08,0.02872169
TARGET.20.PASCFW.09,female,cancer,NA,0-19,blood,0.034064318,0.113215718,0.066706893,0.098025164,0.066706893,-1.90E-08,-1.90E-08
